,0,1,2
325,0.0,41.0,60000.0
326,1.0,41.0,72000.0
327,0.0,42.0,75000.0
328,1.0,36.0,118000.0
329,0.0,47.0,107000.0
330,1.0,38.0,51000.0
331,0.0,48.0,119000.0
332,1.0,42.0,65000.0
333,1.0,40.0,65000.0
334,1.0,57.0,60000.0
335,0.0,36.0,54000.0
336,1.0,58.0,144000.0
337,1.0,35.0,79000.0
338,0.0,38.0,55000.0
339,1.0,39.0,122000.0
340,0.0,53.0,104000.0
341,1.0,35.0,75000.0
342,0.0,38.0,65000.0
343,0.0,47.0,51000.0
344,1.0,47.0,105000.0
345,0.0,41.0,63000.0
346,1.0,53.0,72000.0
347,0.0,54.0,108000.0
348,1.0,39.0,77000.0
349,1.0,38.0,61000.0
350,0.0,38.0,113000.0
351,1.0,37.0,75000.0
352,0.0,42.0,90000.0
353,0.0,37.0,57000.0
354,1.0,36.0,99000.0
355,1.0,60.0,34000.0
356,1.0,54.0,70000.0
357,0.0,41.0,72000.0
358,1.0,40.0,71000.0
359,1.0,42.0,54000.0
360,1.0,43.0,129000.0
361,0.0,53.0,34000.0
362,0.0,47.0,50000.0
363,0.0,42.0,79000.0
364,1.0,42.0,104000.0
365,0.0,59.0,29000.0
366,0.0,58.0,47000.0
367,1.0,46.0,88000.0
368,1.0,38.0,71000.0
369,0.0,54.0,26000.0
370,0.0,60.0,46000.0
371,1.0,60.0,83000.0
372,0.0,39.0,73000.0
373,1.0,59.0,130000.0
374,0.0,37.0,80000.0
375,0.0,46.0,32000.0
376,0.0,46.0,74000.0
377,0.0,42.0,53000.0
378,1.0,41.0,87000.0
379,0.0,58.0,23000.0
380,1.0,42.0,64000.0
381,1.0,48.0,33000.0
382,0.0,44.0,139000.0
383,1.0,49.0,28000.0
384,0.0,57.0,33000.0
385,1.0,56.0,60000.0
386,0.0,49.0,39000.0
387,1.0,39.0,71000.0
388,1.0,47.0,34000.0
389,0.0,48.0,35000.0
390,1.0,48.0,33000.0
391,1.0,47.0,23000.0
392,0.0,45.0,45000.0
393,1.0,60.0,42000.0
394,0.0,39.0,59000.0
395,0.0,46.0,41000.0
396,1.0,51.0,23000.0
397,0.0,50.0,20000.0
398,1.0,36.0,33000.0
399,0.0,49.0,36000.0
